区分,商品コード,シート,行,シート側タイトル,Yahoo商品名,類似度
①シート登録済み・Yahoo無し,TWF0062-CM-01,台湾まんが,50,台湾版 まんが(初版限定版) 『俺がお前に恋なんて』 第01巻 著：まちば 想不到會愛上你 ※初版限定版特典付き,,
①シート登録済み・Yahoo無し,TWF0090-CM-08,台湾まんが,69,台湾版 まんが(初版限定版) 『多聞くん今どっち！？』 第08巻 著：師走ゆき 現在的是哪一個多聞！？ 8 首刷限定版 ※初版限定版特典付き,,
①シート登録済み・Yahoo無し,TWF0103-CM-02,台湾まんが,78,台湾版 まんが(初版限定版) 『ハイキュー!!リミックス版』 第02巻 著：古舘春一 排球少年!!REMIX版 (首刷附錄版) 2 ※初版限定版特典付き,,
①シート登録済み・Yahoo無し,TWF0121-CM-0103,台湾まんが,90,台湾版 まんが(初版限定版) 『魅惑』 1〜3巻セット 著：紅作家 《魅惑(全三冊)【限量書盒典藏‧首刷限定版】(隨書附贈獨家授權愛藏明信片5款)》 ※初版限定版特典付き,,
①シート登録済み・Yahoo無し,TWF0123-CM-22,台湾まんが,92,台湾版 まんが(初版限定版) 『アオのハコ』 22巻 著：三浦糀 《青春之箱 (首刷限定版) 22》 ※初版限定版特典付き,,
①シート登録済み・Yahoo無し,TWF0124-CM-02,台湾まんが,93,台湾版 まんが(初版限定版) 『ピンクハートジャム beat』 2巻 著：しっけ 《粉紅愛心樂團 beat (首刷限定版) 2》 ※初版限定版特典付き,,
①シート登録済み・Yahoo無し,TWRS0007-CM-0304,台湾まんが,74,台湾版 まんが(予約限定特装版) 『雪辱の花』 03-04巻 著：Snob 《劍與花》VOL.3+4 ※予約限定特典付き,,
①シート登録済み・Yahoo無し,TWRS0024-CM-0304,台湾まんが,75,台湾版 まんが(予約限定特装版) 『罠』 03-04巻 著：HAEMURI 《陷阱》VOL.3+4 ※予約限定特典付き,,
①シート登録済み・Yahoo無し,TWRS0149-CM-01,台湾まんが,126,台湾版 まんが 予約限定特装版 『夫を味方にする方法』 1巻 著：Spice&Kitty 《只為尋求丈夫的支持》 ※予約限定特典付き,,
①シート登録済み・Yahoo無し,TWS0021-CM-03,台湾まんが,22,台湾版 まんが(特装版) 『裏切り者のラブソング』 第03巻 著：外岡もったす 背叛者的情歌 ※特装版限定特典付き,,
①シート登録済み・Yahoo無し,TWS0024-CM-0102,台湾まんが,24,台湾版 まんが(特装版) 『罠』 01-02巻 著：HAEMURI 《陷阱》 ※特装版限定特典付き,,
①シート登録済み・Yahoo無し,TWS0026-CM-03,台湾まんが,27,台湾版 まんが(特装版) 『Redeem ~リディーム：たった一つの永遠~(』 第03巻 著：スカーレット・ベリ子 救贖：唯一的永遠 ※特装版限定特典付き,,
①シート登録済み・Yahoo無し,TWS0031-CM-03,台湾まんが,31,台湾版 まんが(特装版) 『主役の初体験、私が奪っちゃいました』 第03巻 著：Hwang DoTol・MSG・Teava 我奪走了公爵的初夜 ※特装版限定特典付き,,
①シート登録済み・Yahoo無し,TWS0079-CM-04,台湾まんが,66,台湾版 まんが(特装版) 『ウスズミの果て』 第04巻 著：岩宗治生 薄墨的盡頭 (4) 特裝版 ※特装版限定特典付き,,
①シート登録済み・Yahoo無し,TWS0091-CM-0102,台湾まんが,77,台湾版 まんが(特装版) 『Sparkling Baby』 01-02巻 著：ZEC 《Sparkling Baby》 1+2 套裝版 ※特装版限定特典付き,,
①シート登録済み・Yahoo無し,TWS0093-NV-04,台湾書籍その他,25,台湾版 小説 特装版 『俺が育てたS級たち』 3〜4巻セット 著：根序 《我培育的S級們【3+4雙書特裝版】》 ※特装版限定特典付き,,
①シート登録済み・Yahoo無し,TWS0125-CM-05,台湾まんが,94,台湾版 まんが(特装版) 『薔薇とシャンパン』 5巻 著：Ttung gae 《薔薇與香檳 5 【特裝版】》 ※特装版限定特典付き,,
③タイトル不一致,TWS0152-CM-04,台湾まんが,131,台湾版 まんが 特装版 『とある科学の心理掌握』 4巻 著：原作：鎌池和馬 / 角色原案：はいむらきよたか / 漫畫：乃木康仁 《魔法禁書目錄外傳 科學心理掌握》 ※特装版限定特典付き,台湾版 まんが(特装版) 『とある科学の心理掌握』 第04巻 原作：鎌池和馬   科學心理掌握 (4) 特裝版 ※特装版限定特典付き,0.667
③タイトル不一致,TW-FLT-0001,台湾グッズ,30,台湾 グッズ 『フラッシュライト アクリルプレート B』 FLASHLIGHT(漫畫) 壓克力飾牌 B,台湾 グッズ 『フラッシュライト アクリルブロック B (5.4×7.8×1cm)』 FLASHLIGHT(漫畫) 壓克力飾牌 B （台湾角川公式グッズ）,0.734
③タイトル不一致,TW-FLT-0002,台湾グッズ,31,台湾 グッズ 『フラッシュライト アクリルプレート A』 FLASHLIGHT(漫畫) 壓克力飾牌 A,台湾 グッズ 『フラッシュライト アクリルブロック A (5.4×7.8×1cm)』 FLASHLIGHT(漫畫) 壓克力飾牌 A （台湾角川公式グッズ）,0.734
③タイトル不一致,TWF0046-CM-36,台湾まんが,122,台湾版 まんが 初版限定版 『ブルーロック』 36巻 著：金城 宗幸／ノ村優介 《BLUE LOCK 藍色監獄》 ※初版限定版特典付き,台湾版 まんが(初版限定版) 『ブルーロック』 第36巻 著：金城 宗幸/ノ村優介  藍色監獄 (首刷限定版) 36,0.758
③タイトル不一致,TWF0081-ART,台湾書籍その他,20,台湾版 設定集 (初版限定版) 『ハイキュー！！マガジンⅡ』 著：古舘 春一 排球少年!!magazine II ※初版限定版特典付き,台湾版 ムック本 『ハイキュー！！マガジン』 著：古舘 春一 排球少年!!magazine II,0.759
③タイトル不一致,TWS0003-CM-01,台湾まんが,4,台湾版 まんが(特装版) 『ベル・プペーのスパダリ婚約』 第01巻 著：原作：朝霧あさき イラスト・漫画：セレン 美麗娃娃的理想婚約~被嫌棄「不符喜好」的娃娃公主露出真面目之後，王子反而臉紅心跳。真是惹人憐愛！~ ※特装版限定特典付き,台湾版 まんが （特装版）『ベル・プペーのスパダリ婚約』1巻 　美麗娃娃的理想婚約~被嫌棄「不符喜好」的娃娃公主露出真面目之後，王子反而臉紅心跳。真是,0.764
④シート内コード重複,TWS0100-CM-01,台湾まんが:81(台湾版 まんが(特装版) 『鬼は今日も雨を待つ』 第01巻 著：古澤エノ 《鬼今天也等待著雨》特裝版 ※特装版限定特典付き) / 台湾まんが:130(台湾版 まんが 特装版 『鬼は今日も雨を待つ』 1巻 著：古澤エノ 《鬼今天也等待著雨》 ※特装版限定特典付き),,,,
②Yahooのみ(旧システム含む),TW0007-CM-0304,,,,台湾版 まんが(予約限定特装版) 『雪辱の花』 03-04巻 著：Snob 《劍與花》VOL.3+4 ※予約限定特典付き,
②Yahooのみ(旧システム含む),TW0007-CM-0304-0,,,,【特装版】台湾版 まんが『雪辱の花』 03-04巻 著：snob 《劍與花》VOL.3+4,
②Yahooのみ(旧システム含む),TW0024-CM-0304,,,,台湾版 まんが(予約限定特装版) 『罠』 03-04巻 著：HAEMURI 《陷?》VOL.3+4 ※予約限定特典付き,
②Yahooのみ(旧システム含む),TW0033-CM-21,,,,台湾版 まんが 『俺だけレベルアップな件』 第21巻 著：DUBU(REDICE STUDIO) 我獨自升級21漫畫,
②Yahooのみ(旧システム含む),TW0033-CM-22,,,,台湾版 まんが 『俺だけレベルアップな件』 第22巻 著：DUBU(REDICE STUDIO) 我獨自升級22漫畫,
②Yahooのみ(旧システム含む),TW0044-CM-24,,,,台湾版 まんが (初版限定版) 『SAKAMOTO DAYS』 第24巻 著：鈴木祐斗 SAKAMOTO DAYS 坂本日常24 ※初版限定版特典付き＋限定カード,
②Yahooのみ(旧システム含む),TW0044-CM-24-0,,,,台湾版 まんが (初版限定版) 『SAKAMOTO DAYS』 第24巻 著：鈴木祐斗 SAKAMOTO DAYS 坂本日常24 ※初版限定版特典付き,
②Yahooのみ(旧システム含む),TW0047-CM-03,,,,台湾版 まんが (通常版) 『未成年～未熟な俺たちは不器用に進行中～』 第03巻 著：ヒヌン 未成年3 ※特典：著者描き下ろしの美麗カバーイラストカード1枚付き,
②Yahooのみ(旧システム含む),TW0064-CM-01,,,,台湾版 まんが 『お前、俺のもんになれ！+誰も知らない恋の果て 』 第01巻 著：かけたま ??，成為我的人?！(全)+無人知曉之戀的結局(全),
②Yahooのみ(旧システム含む),TW0068-CM-01,,,,台湾版 まんが (初版限定版) 『俺がお前に恋なんて』 第01巻 著：まちば 想不到會愛上〓1 ※初版限定版特典付き,
②Yahooのみ(旧システム含む),TW0069-CM-01,,,,"台湾版 まんが 『サディスティック・ビューティー～真田×辺見編～』 第01巻 著：Woo Yeonhui,カネダ 虐美人外傳B1 ※付録：ポラロイド",
②Yahooのみ(旧システム含む),TW0075-NV,,,,台湾版 小説 『Silent Witch ? -extra- 沈黙の魔女 短編集 特装版』』 著：依空まつり Silent Witch ? -extra- ?默魔女的短篇集 特裝版,
②Yahooのみ(旧システム含む),TW0093-NV-04,,,,台湾版 小説 『俺が育てたS級たち』 著：根序 我培育的S級們【3+4雙書特裝版】,
②Yahooのみ(旧システム含む),TW0122-CM-02,,,,台湾版 まんが 『GUIDING HAZARD～俺たちのマッチング率は90%～』 第02巻 著：Sunsun 疏導危機 2,
②Yahooのみ(旧システム含む),TWF0004-CM-08,,,,台湾版 まんが (初版限定版) 『多聞くん今どっち！？』 第08巻 著：師走ゆき 現在的是?一個多聞！？8 ※初版限定版特典付き,
②Yahooのみ(旧システム含む),TWF0021-CM-01,,,,台湾版 まんが『希うは降臨なり』 第01巻 著：Baek Sang-eon 應念而至 1 ※初版終了,
②Yahooのみ(旧システム含む),TWF0024-CM-09,,,,台湾版 まんが （初版限定版） 『カグラバチ』 第09巻 著：外薗 健 神樂鉢 (首刷限定版) 9 ※初版限定版特典付き,
②Yahooのみ(旧システム含む),TWF0025-CM-22,,,,台湾版 まんが （初版限定版） 『チェンソーマン』 第22巻 著：藤本タツキ 鏈鋸人 (首刷限定版) 22 ※初版限定版特典付き,
②Yahooのみ(旧システム含む),TWF0029-CM-18,,,,台湾版 まんが (初版限定版) 『あかね噺』 第18巻 著：馬上 鷹将、末永 裕樹 朱音落語 (首刷限定版) 18 ※初版限定版特典付き,
②Yahooのみ(旧システム含む),TWF0030-CM-21,,,,台湾版 まんが (初版限定版) 『逃げ上手の若君』 第21巻 著：松井 優征 擅長逃〓的殿下 (首刷限定版) 21 ※初版限定版特典付き,
②Yahooのみ(旧システム含む),TWF0031-CM-01,,,,台湾版 まんが (初版限定版) 『マネマネにちにち』 第01巻 著：山本 崇一朗 經理女孩悠悠日常 (首刷限定版) 01 ※初版限定版特典付き,
②Yahooのみ(旧システム含む),TWF0076-CM-20-0,,,,台湾版 まんが 『ダンダダン』 第20巻 著：龍幸伸 膽大黨20,
②Yahooのみ(旧システム含む),TWF0088-CM-22,,,,台湾版 まんが(初版限定版) 『アオのハコ』 第22巻 著：三浦糀 青春之箱 (首刷限定版) 22 ※初版限定版特典付き,
②Yahooのみ(旧システム含む),TWF0100-CM-02,,,,台湾版 まんが(初版限定版) 『ハイキュー!!リミックス版』 第02巻 著：古舘春一 排球少年!!REMIX版 (首刷附?版) 2 ※初版限定版特典付き,
②Yahooのみ(旧システム含む),TWF0101-CM-02,,,,台湾版 まんが(初版限定版) 『ピンクハートジャム beat』 第02巻 著：しっけ 粉紅愛心樂團 beat (首刷限定版) 2 ※初版限定版特典付き,
②Yahooのみ(旧システム含む),TWF0112-CM-0103,,,,台湾版 まんが(初版限定版) 『魅惑』 01-03巻 著：紅作家 魅惑(全三冊)【限量書盒典藏?首刷限定版】(隨書附贈獨家授權愛藏明信片5款) ※初版限定版特典付き,
②Yahooのみ(旧システム含む),TWPAYB0102-S,,,,【ボックス特装版】台湾版 小説『PAYBACK01+02套書特裝版（限制級）』著：サムク（ペイバック：原作小説）ネット書店特典付き,
②Yahooのみ(旧システム含む),TWPAYB0102-SS,,,,【出版社予約特典つき】台湾版 小説『PAYBACK01+02套書特裝版（限制級）』著：サムク（ペイバック：原作小説）,
②Yahooのみ(旧システム含む),TWPAYB0304-SS,,,,【出版社予約限定特典】台湾版 小説『PAYBACK03+04套書特裝版（限制級）』著：サムク（ペイバック：原作小説）※数量に限りあり,
②Yahooのみ(旧システム含む),TWRS0149-CM-02,,,,台湾版 まんが(予約限定特装版) 『夫を味方にする方法』 第02巻 著：Spice&Kitty 《只為尋求丈夫的支持》VOL.2 ※予約限定特典付き,
②Yahooのみ(旧システム含む),TWS0004-CM-07R,,,,台湾版 まんが （特装版） 『多聞くん今どっち!?』 第07巻 著：師走ゆき 現在的是?一個多聞！？ (7) 特裝版 ※特装版限定特典付き,
②Yahooのみ(旧システム含む),TWS0022-CM-03,,,,台湾版 まんが （特装版） 『裏切り者のラブソング』 第03巻 背叛者的情歌 (3) 特裝版 ※特装版限定特典付き,
②Yahooのみ(旧システム含む),TWS0026-CM-0102,,,,台湾版 まんが （特装版） 『罠』 01-02巻 著：HAEMURI 《陷?》VOL.01+02特裝版 ※特装版限定特典付き,
②Yahooのみ(旧システム含む),TWS0027-CM-03,,,,台湾版 まんが (特装版) 『Redeem ~リディーム：たった一つの永遠~』 第03巻 著：スカーレット・ベリ子 救贖：唯一的永遠(3)【特裝版】 ※特装版限定特典付き,
②Yahooのみ(旧システム含む),TWS0032-CM-03,,,,台湾版 まんが (特装版) 『主役の初体験、私が奪っちゃいました』 第03巻 著：Hwang DoTol・MSG・Teava 我奪走了公爵的初夜3特裝版 ※特装版限定特典付き,
②Yahooのみ(旧システム含む),TWS0036-NV-0102,,,,台湾版 小説 (特装版) 『隣のギルメン』 01-02巻 著：HoneyTrap 鄰居是公會成員01+02【特裝版】 ※特装版限定特典付き,
②Yahooのみ(旧システム含む),TWS0041-NV-0304,,,,台湾版 小説 (特装版) 『PASSION: DIAPHONIC SYMPHONIA』 03-04巻 著：YUUJI 《PASSION: DIAPHONIC SYMPHONIA》 03+04【特裝版】 ※特装版限定特典付き,
②Yahooのみ(旧システム含む),TWS0042-NV-0203,,,,台湾版 小説 (特装版) 『コードネームアナスタシア』 02-03巻 著：Boyseason少年季節 CODENAME: ANASTASIA代號: 安娜塔西亞02+03 ※特装版限定特典付き,
②Yahooのみ(旧システム含む),TWS0043-NV-0102,,,,台湾版 小説 (特装版) 『二つの帝国と帝国の奴隷』 01-02巻 著：Levenoad 兩個帝國，帝國的奴隸1+2【小?套書限定版】 ※特装版限定特典付き,
②Yahooのみ(旧システム含む),TWS0078-CM-04,,,,台湾版 まんが (特装版) 『ウスズミの果て』 第04巻 著：岩宗治生 薄墨的盡頭 (4) 特裝版 ※特装版限定特典付き,
②Yahooのみ(旧システム含む),TWS0083-CM-05-BL,,,,台湾版 まんが (特装版) 『ディファイン・ザ・リレーションシップ』 第05巻 著：CHADA 定義關係5 ※特装版限定特典（予約特典2種類から選択）,
②Yahooのみ(旧システム含む),TWS0088-CM-0102,,,,台湾版 まんが(特装版) 『Sparkling Baby』 01-02巻 著：ZEC 《Sparkling Baby》 1+2 套裝版 ※特装版限定特典付き,
②Yahooのみ(旧システム含む),TWS0104-CM-05,,,,台湾版 まんが(特装版) 『薔薇とシャンパン』 第05巻 著：Ttung gae 薔薇與香檳 5 【特裝版】 ※特装版限定特典付き,
